Service Level 1,Service Level 2,Service Level 3,Service Level 4,Service Level 5,Azure Usage
Compute,Linux Virtual Machines,Non-Windows VMs,Optimized Compute Non-Windows VMs,D12 v2 VM,$248
Compute,Linux Virtual Machines,Non-Windows VMs,Optimized Compute Non-Windows VMs,D2 v2 VM,$289
Compute,Linux Virtual Machines,Non-Windows VMs,Optimized Compute Non-Windows VMs,D2 v2 VM Promo,$281
Compute,Linux Virtual Machines,Non-Windows VMs,Optimized Compute Non-Windows VMs,D2 v3 VM,$58
Compute,Linux Virtual Machines,Non-Windows VMs,Optimized Compute Non-Windows VMs,D3 v2 VM,$963
Compute,Linux Virtual Machines,Non-Windows VMs,Optimized Compute Non-Windows VMs,D3 VM,$255
Compute,Linux Virtual Machines,Non-Windows VMs,Optimized Compute Non-Windows VMs,D4 v2 VM,$784
Compute,Linux Virtual Machines,Non-Windows VMs,Optimized Compute Non-Windows VMs,D4 v3 VM,$2
Compute,Linux Virtual Machines,Non-Windows VMs,Optimized Compute Non-Windows VMs,D8 v3 VM,$12
Compute,Linux Virtual Machines,Non-Windows VMs,Optimized Compute Non-Windows VMs,F4 VM,$133
Compute,Linux Virtual Machines,Non-Windows VMs,Optimized Compute Non-Windows VMs,F8 VM,$1065
Compute,Linux Virtual Machines,Red Hat Enterprise Linux VMs,On-Demand RHEL images,Red Hat Enterprise VMs - 1 core,$233
Compute,Linux Virtual Machines,Red Hat Enterprise Linux VMs,On-Demand RHEL images,Red Hat Enterprise VMs - 2 cores,$1419
Compute,Linux Virtual Machines,Red Hat Enterprise Linux VMs,On-Demand RHEL images,Red Hat Enterprise VMs - 4 cores,$241
Compute,Linux Virtual Machines,Red Hat Enterprise Linux VMs,On-Demand RHEL images,Red Hat Enterprise VMs - 8 cores,$174
Compute,Windows Virtual Machines,SQL VMs,SQL VM - Enterprise,SQL Server Enterprise,$5022
Compute,Windows Virtual Machines,SQL VMs,SQL VM - Enterprise,SQL Server Enterprise (8 core),$2009
Compute,Windows Virtual Machines,SQL VMs,SQL VM - Standard,SQL Server Standard (16 core),$6428
Compute,Windows Virtual Machines,SQL VMs,SQL VM - Standard,SQL Server Standard (8 core),$8874
Compute,Windows Virtual Machines,SQL VMs,SQL VM - Standard,SQL Server Standard (up to 4 cores),$19363
Compute,Windows Virtual Machines,SQL VMs,SQL VM - Web,SQL Server Web (8 core),$43
Compute,Windows Virtual Machines,SQL VMs,SQL VM - Web,SQL Server Web (up to 4 cores),$21
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Basic VMs,A0 Basic Windows VM,$0
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Basic VMs,A1 Basic Windows VM,$142
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Basic VMs,A2 Basic Windows VM,$1747
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Basic VMs,A3 Basic Windows VM,$993
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Basic VMs,A4 Basic Windows VM,$1585
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Standard VMs,A1 Standard Windows VM,$697
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Standard VMs,A2 Standard Windows VM,$1326
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Standard VMs,A2mv2 Standard Windows VM,$246
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Standard VMs,A2v2 Standard Windows VM,$182
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Standard VMs,A3 Standard Windows VM,$5544
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Standard VMs,A4 Standard Windows VM,$2410
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Standard VMs,A4v2 Standard Windows VM,$766
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Standard VMs,A5 Standard Windows VM,$201
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Standard VMs,A6 Standard Windows VM,$883
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Standard VMs,A7 Standard Windows VM,$884
Compute,Windows Virtual Machines,Windows VMs,General Purpose Windows Standard VMs,A8mv2 Standard Windows VM,$964
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D1 v2 Windows VM,$182
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D1 Windows VM,$1675
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D11 v2 Windows VM,$822
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D11 v2 Windows VM Promo,$523
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D11 Windows VM,$1105
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D12 v2 Windows VM,$9876
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D12 v2 Windows VM Promo,$3250
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D12 Windows VM,$6566
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D13 v2 Windows VM,$4583
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D13 v2 Windows VM Promo,$666
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D13 Windows VM,$3142
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D14 v2 Windows VM,$7067
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D14 Windows VM,$2827
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D2 v2 Windows VM,$2508
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D2 v2 Windows VM Promo,$1924
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D2 v3 Windows VM,$305
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D2 Windows VM,$4891
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D3 v2 Windows VM,$7110
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D3 v2 Windows VM Promo,$2268
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D3 Windows VM,$9376
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D4 v2 Windows VM,$3750
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D4 v3 Windows VM,$413
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D4 Windows VM,$3749
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,D5 v2 Windows VM,$1350
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,E2 v3 Windows VM,$5
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,F1 Windows VM,$15
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,F2 Windows VM,$259
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,F4 Windows VM,$2973
Compute,Windows Virtual Machines,Windows VMs,Optimized Compute Windows VMs,F8 Windows VM,$237
Compute,Windows Virtual Machines,Windows VMs,Windows VMs,B2 Windows VM,$9
Compute,Windows Virtual Machines,Windows VMs,Windows VMs,B2m Windows VM,$45
Compute,Windows Virtual Machines,Windows VMs,Windows VMs,B4m Windows VM,$0
Compute,Windows Virtual Machines,Windows VMs,Windows VMs,B8m Windows VM,$0
Analytics,Data Lake Store,Data Lake Store,Data Lake Store - Data Stored,Data Stored,$0
Analytics,Data Lake Store,Data Lake Store,Data Lake Store - Transactions,Data Lake Transactions,$0
Analytics,Machine Learning,Production Web API,Production Web API - Standard,S1 Standard API,$6
Analytics,Machine Learning,Studio,Studio - Standard,ML Seat Subscription,$0
Analytics,Machine Learning,Studio,Studio - Standard,ML Studio Usage,$0
